artist_key,canonical_name,normalized_name,aliases,country_signals,genre_signals,source_ids,confidence_score,confidence_tier,inclusion_reasons,notes
f9beac1d-12dd-4375-ba17-65ce0f5db02c,Chicos de Barrio,chicos de barrio,Chicos de Barrio|Los Chicos de Barrio|Los Chicos del Barrio,MX|Mexico,banda music|cumbia|hip-hop|mx_group|norteño|reggaeton|vallenato,"[{""source"": ""musicbrainz"", ""id"": ""221672f3-806f-4114-a059-c004cb3d05ce""}, {""source"": ""wikidata"", ""id"": ""Q5096563""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
bdd11e3c-b9eb-49f5-b289-2e2712566d7b,Banda Bostik,banda bostik,Banda Bostik,Ciudad de México|Mexico,banda|mx_group,"[{""source"": ""musicbrainz"", ""id"": ""372469d1-a2e8-42cb-8695-e6979bc7768b""}, {""source"": ""musicbrainz"", ""id"": ""372469d1-a2e8-42cb-8695-e6979bc7768b""}, {""source"": ""wikidata"", ""id"": ""Q2918555""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
28cfcd52-1439-4e44-9784-93d321e24a16,Banda Maguey,banda maguey,Banda Maguey,MX|Mexico,banda|mx_group,"[{""source"": ""musicbrainz"", ""id"": ""586d058a-ab80-491a-a720-bbd2a70b39d0""}, {""source"": ""musicbrainz"", ""id"": ""586d058a-ab80-491a-a720-bbd2a70b39d0""}, {""source"": ""wikidata"", ""id"": ""Q4854296""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
cdcce10a-3602-483f-b04c-373f75ca2509,Banda Toro,banda toro,Banda Toro,MX|Mexico,banda|mx_group,"[{""source"": ""musicbrainz"", ""id"": ""8bd5e1a3-3f51-4b3c-9ed7-d637edde2d88""}, {""source"": ""musicbrainz"", ""id"": ""8bd5e1a3-3f51-4b3c-9ed7-d637edde2d88""}, {""source"": ""wikidata"", ""id"": ""Q5572780""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
39b311e3-6574-4868-a547-512dfc062a7d,Las Jilguerillas,las jilguerillas,Las Jilguerillas,MX|Mexico,Campirano|mariachi|mx_group|ranchera,"[{""source"": ""musicbrainz"", ""id"": ""fd1515d3-39a1-408d-a871-7ced1a30a1d6""}, {""source"": ""wikidata"", ""id"": ""Q85775896""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
84e8fecb-85c4-43f8-8434-d5c3a9bdcc46,La Leyenda,la leyenda,La Leyenda,MX|Mexico,mx_group|norteño,"[{""source"": ""musicbrainz"", ""id"": ""b6ce5c4a-6ea0-48e2-b497-48a8c2690061""}, {""source"": ""musicbrainz"", ""id"": ""b6ce5c4a-6ea0-48e2-b497-48a8c2690061""}, {""source"": ""wikidata"", ""id"": ""Q8965171""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
eef8f3cc-a664-4fd0-ae8b-e09efde358ee,Grupo Arranke,grupo arranke,Grupo Arranke,MX|Mexico,corrido|mx_group|norteño|norteño-banda|ranchera|regional Mexican|regional mexicano|sierreño|sierreño-banda,"[{""source"": ""musicbrainz"", ""id"": ""407182ed-151b-45b8-a8bc-a10bc87dff09""}, {""source"": ""musicbrainz"", ""id"": ""407182ed-151b-45b8-a8bc-a10bc87dff09""}, {""source"": ""wikidata"", ""id"": ""Q99422039""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
4aba4c56-57f3-4dc5-bf02-598acda48234,Banda Zeta,banda zeta,Banda Zeta,MX|Mexico|Tepic,banda|mx_group|technobanda,"[{""source"": ""musicbrainz"", ""id"": ""97211033-3cf4-493d-baa4-db0feee4acc0""}, {""source"": ""musicbrainz"", ""id"": ""97211033-3cf4-493d-baa4-db0feee4acc0""}, {""source"": ""wikidata"", ""id"": ""Q5718292""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
88426319-47dc-4e3d-9ed3-e3e943025525,Banda Tierra Mojada,banda tierra mojada,Banda Infantil San Andrés|Banda Tierra Mojada,MX|Mexico|Oaxaca,banda|banda music|mx_group|regional Mexican,"[{""source"": ""musicbrainz"", ""id"": ""7b6763d6-cb62-485d-a57a-18e0008ebf60""}, {""source"": ""musicbrainz"", ""id"": ""7b6763d6-cb62-485d-a57a-18e0008ebf60""}, {""source"": ""wikidata"", ""id"": ""Q105099773""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
4cd1ea77-99cc-4c4e-b241-c82a743d6349,Irma Vila,irma vila,Irma Vila,Mexico,mx_beginarea_person|ranchera,"[{""source"": ""musicbrainz"", ""id"": ""1aa6d178-bc31-42fc-a0eb-d901aaae971f""}, {""source"": ""wikidata"", ""id"": ""Q18640797""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
5aed2445-d552-4bcb-a53d-d308ed64faf5,Majo Aguilar,majo aguilar,Majo Aguilar,Ciudad de México|Mexico,cumbia|mx_beginarea_person|pop music|ranchera,"[{""source"": ""musicbrainz"", ""id"": ""818d11de-dbf7-4640-9562-fb244a77b63e""}, {""source"": ""wikidata"", ""id"": ""Q96074466""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
7fbb6cb7-a9ce-4dae-880a-b29e86a6592d,Alex Fernández,alex fernandez,Alejandro Fernández Guinart|Alex Fernández,Ciudad de México|Mexico,mariachi|mx_beginarea_person|norteño|ranchera|regional mexicano,"[{""source"": ""musicbrainz"", ""id"": ""01363de3-7323-4493-9388-e096e0b41f8a""}, {""source"": ""wikidata"", ""id"": ""Q108659202""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
0676cf89-8e23-40ee-a877-4c915d61e910,Amalia Macías,amalia macias,Amalia Macías|María Dolores Amalia Macías Gutiérrez,Irapuato|MX|Mexico,mx_country_person|ranchera,"[{""source"": ""musicbrainz"", ""id"": ""c2d2c71c-6bdc-4f41-9c9c-525fa55e2085""}, {""source"": ""musicbrainz"", ""id"": ""c2d2c71c-6bdc-4f41-9c9c-525fa55e2085""}, {""source"": ""wikidata"", ""id"": ""Q96100588""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
9d5bc99a-0d13-4104-af12-698b9a7c4304,Servando Cano Rodríguez,servando cano rodriguez,Servando Cano Rodriguez|Servando Cano Rodríguez,MX|Mexico|Nuevo León,norteño|ranchera|regional mexican,"[{""source"": ""musicbrainz"", ""id"": ""510569f2-05cc-48c4-bb80-45df91d79738""}, {""source"": ""wikidata"", ""id"": ""Q105415317""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
f974115a-2a15-4c57-a08f-e2c1fb359c40,Pistolas de Oro,pistolas de oro,Pistolas de Oro|Pistolas de oro,Mexico,mariachi|ranchera|regional Mexican,"[{""source"": ""wikidata"", ""id"": ""Q125008008""}, {""source"": ""wikidata"", ""id"": ""Q130364271""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
