artist_key,canonical_name,normalized_name,aliases,country_signals,genre_signals,source_ids,confidence_score,confidence_tier,inclusion_reasons,notes
0d0320cf-7008-4342-a688-cdea9d143b6a,Paco Arango,paco arango,Paco Arango,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q96813318""}]",2,medium,mexico_signal,
26eec7eb-b7aa-4c09-b4ac-36fa177e0e9a,María Diez-Canedo,maria diez canedo,María Diez-Canedo,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q97176016""}]",2,medium,mexico_signal,
bdff5c23-9bf9-45ed-94bf-de7415bb9bbe,Tere Estrada,tere estrada,Tere Estrada,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q97687505""}]",2,medium,mexico_signal,
2cddd86a-e511-4661-81fd-eeb88c1ab97a,Federico Arana,federico arana,Federico Arana,Mexico,drama|painting|poetry|rock music,"[{""source"": ""wikidata"", ""id"": ""Q33060620""}]",2,medium,mexico_signal,
3347aa53-9d82-4b7f-add5-59621007ce95,Hispana,hispana,Hispana,Mexico,Latin pop|hip-hop,"[{""source"": ""wikidata"", ""id"": ""Q110442697""}]",2,medium,mexico_signal,
ac00565c-6150-4d3e-b5c9-39c5d01de45d,Jesús Villaseñor,jesus villasenor,Jesús Villaseñor,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q27929727""}]",2,medium,mexico_signal,
681b0386-16f9-4a21-a559-b7b2248aa571,José Ariel Inzunza Inzunza,jose ariel inzunza inzunza,José Ariel Inzunza Inzunza,Mexico,Campirano|regional Mexican,"[{""source"": ""wikidata"", ""id"": ""Q106613094""}]",2,medium,mexico_signal,
8a891d25-5601-43fc-98f9-e73f0974e9f4,Javier Manuel Rosas,javier manuel rosas,Javier Manuel Rosas,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q32132071""}]",2,medium,mexico_signal,
29d1ec6f-4c91-4837-9598-aff900513e10,José Antonio Farías,jose antonio farias,José Antonio Farías,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q32362695""}]",2,medium,mexico_signal,
2526fdd4-3051-4268-90f0-cf8889be49e1,Juan Casaos,juan casaos,Juan Casaos,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q33140945""}]",2,medium,mexico_signal,
d60bdb26-391d-4442-8121-590e988d6ab2,Edén Muñoz,eden munoz,Edén Muñoz,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q33709281""}]",2,medium,mexico_signal,
e5eaa742-0e52-4184-951e-ae014f7ab024,Fela Domínguez,fela dominguez,Fela Domínguez,Mexico,jazz|pop music,"[{""source"": ""wikidata"", ""id"": ""Q111108626""}]",2,medium,mexico_signal,
2b1acd4f-f26a-4200-a427-a45eeab65a3a,Q105455093,q105455093,Q105455093,Mexico,hip-hop|rhythm and blues,"[{""source"": ""wikidata"", ""id"": ""Q105455093""}]",2,medium,mexico_signal,
86686b42-da61-4374-93b1-14c95e730ae3,Kimberly Loaiza,kimberly loaiza,Kimberly Loaiza,Mexico,Latin pop|dance-pop|reggaeton|urban contemporary,"[{""source"": ""wikidata"", ""id"": ""Q63565821""}]",2,medium,mexico_signal,
190064fe-72ed-4b96-b2f6-96ff5e243685,Ed Maverick Music,ed maverick music,Ed Maverick Music,Mexico,alternative rock|folk rock|rock music,"[{""source"": ""wikidata"", ""id"": ""Q67237006""}]",2,medium,mexico_signal,
8c774d60-30c8-4956-8940-680b69510021,Luis Güereña,luis guerena,Luis Güereña,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q50672037""}]",2,medium,mexico_signal,
3f49aba8-1e9d-4e04-bde2-a8372acb2370,Javier Perez-Tenessa,javier perez tenessa,Javier Perez-Tenessa,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q50738882""}]",2,medium,mexico_signal,
6be94c37-99dd-4700-8215-bce7542ee243,Raúl Roma,raul roma,Raúl Roma,Mexico,Latin ballad|Latin pop,"[{""source"": ""wikidata"", ""id"": ""Q69673408""}]",2,medium,mexico_signal,
54cf6e5f-32d6-46b7-b946-302203e8ef19,Verónica Tapia,veronica tapia,Verónica Tapia,Mexico,,"[{""source"": ""wikidata"", ""id"": ""Q59714307""}]",2,medium,mexico_signal,
